age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T15:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529035', 'street': {'id': 960682, 'name': 'On or near Cumberland Market'}, 'longitude': '-0.142508'}",False,White,Person search,,Controlled drugs
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T16:45:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.542191', 'street': {'id': 964866, 'name': 'On or near Kentish Town Road'}, 'longitude': '-0.141944'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-26T01:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.538109', 'street': {'id': 964887, 'name': 'On or near Camden High Street'}, 'longitude': '-0.141980'}",False,White,Person search,,Controlled drugs
25-34,Penalty Notice for Disorder,True,Asian/Asian British - Chinese,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-25T23:10:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.540592', 'street': {'id': 964929, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.144316'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-26T23:57:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.547113', 'street': {'id': 968141, 'name': 'On or near Drovers Way'}, 'longitude': '-0.125705'}",False,Asian,Person and Vehicle search,,Offensive weapons
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-26T23:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.547113', 'street': {'id': 968141, 'name': 'On or near Drovers Way'}, 'longitude': '-0.125705'}",False,Asian,Person search,,Stolen goods
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T01:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,Black,Person and Vehicle search,,Offensive weapons
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T01:14:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T02:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,Black,Person search,,Stolen goods
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T20:31:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.544006', 'street': {'id': 964852, 'name': ""On or near Reed'S Place""}, 'longitude': '-0.140125'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T01:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,Black,Person and Vehicle search,,Offensive weapons
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T23:13:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525479', 'street': {'id': 960947, 'name': 'On or near Kenton Street'}, 'longitude': '-0.124734'}",False,Asian,Person search,,Evidence of offences under the Act
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T02:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.532450', 'street': {'id': 964975, 'name': 'On or near Neville Close'}, 'longitude': '-0.128225'}",False,White,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T07:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T07:01:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528169', 'street': {'id': 960522, 'name': 'On or near Wellesley Place'}, 'longitude': '-0.131558'}",False,White,Person search,,Controlled drugs
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T21:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531282', 'street': {'id': 960619, 'name': 'On or near Edward Mews'}, 'longitude': '-0.144709'}",False,White,Person search,,Offensive weapons
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T15:13:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.523469', 'street': {'id': 960515, 'name': 'On or near Parking Area'}, 'longitude': '-0.126114'}",False,White,Person search,,Controlled drugs
over 34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-28T16:05:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-28T23:58:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525252', 'street': {'id': 960577, 'name': 'On or near Conference/Exhibition Centre'}, 'longitude': '-0.127410'}",False,White,Person search,,Offensive weapons
10-17,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-29T10:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534912', 'street': {'id': 964885, 'name': 'On or near Camden High Street'}, 'longitude': '-0.138823'}",False,Asian,Person search,,Controlled drugs
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-29T10:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534912', 'street': {'id': 964885, 'name': 'On or near Camden High Street'}, 'longitude': '-0.138823'}",False,Other,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-29T11:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536279', 'street': {'id': 965078, 'name': 'On or near Prince Albert Road'}, 'longitude': '-0.146827'}",False,White,Person and Vehicle search,,Evidence of offences under the Act
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-29T10:44:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528124', 'street': {'id': 960656, 'name': 'On or near Prince Of Wales Passage'}, 'longitude': '-0.138898'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-29T13:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,Black,Person search,,Controlled drugs
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-27T17:50:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.528047', 'street': {'id': 960962, 'name': 'On or near Frederick Street'}, 'longitude': '-0.117189'}",False,Other,Person search,,Stolen goods
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T01:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T05:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Stolen goods
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T05:20:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Evidence of offences under the Act
over 34,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T21:06:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T19:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T00:43:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T22:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,Black,Person and Vehicle search,,Offensive weapons
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T22:17:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534727', 'street': {'id': 964890, 'name': 'On or near Beatty Street'}, 'longitude': '-0.140243'}",False,White,Person search,,Offensive weapons
10-17,Arrest,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T16:10:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.528124', 'street': {'id': 960656, 'name': 'On or near Prince Of Wales Passage'}, 'longitude': '-0.138898'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T00:23:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T22:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,Black,Person and Vehicle search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T01:41:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T21:06:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T22:40:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,Black,Person and Vehicle search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T00:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T20:00:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.542191', 'street': {'id': 964866, 'name': 'On or near Kentish Town Road'}, 'longitude': '-0.141944'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-30T10:31:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-31T18:23:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,White,Person search,,Stolen goods
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T19:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-31T17:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T19:37:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2019-05-31T19:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.543070', 'street': {'id': 964969, 'name': 'On or near Agar Grove'}, 'longitude': '-0.131063'}",False,,Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T19:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,Arrest,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T19:45:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,Other,Person search,,Controlled drugs
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T19:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T21:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,Other,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-30T21:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T20:39:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,,Person search,,Controlled drugs
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-31T17:47:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
25-34,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T18:50:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.548013', 'street': {'id': 967970, 'name': 'On or near Torriano Avenue'}, 'longitude': '-0.130832'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T18:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539131', 'street': {'id': 964629, 'name': ""On or near Randell'S Road""}, 'longitude': '-0.122010'}",False,White,Person search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-01T20:02:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.523469', 'street': {'id': 960515, 'name': 'On or near Parking Area'}, 'longitude': '-0.126114'}",False,White,Person search,,Stolen goods
over 34,Penalty Notice for Disorder,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T11:45:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.532285', 'street': {'id': 964816, 'name': 'On or near Northdown Street'}, 'longitude': '-0.119595'}",False,White,Person and Vehicle search,,Controlled drugs
25-34,Arrest,True,Black/African/Caribbean/Black British - African,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T12:15:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Stolen goods
18-24,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T16:45:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.548879', 'street': {'id': 967987, 'name': 'On or near A5200'}, 'longitude': '-0.129310'}",False,Black,Person and Vehicle search,,Offensive weapons
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T17:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540865', 'street': {'id': 964755, 'name': 'On or near Bridgeman Road'}, 'longitude': '-0.115189'}",False,White,Person search,,Offensive weapons
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T17:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540865', 'street': {'id': 964755, 'name': 'On or near Bridgeman Road'}, 'longitude': '-0.115189'}",False,White,Person search,,Offensive weapons
10-17,Arrest,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-02T17:25:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,Black,Person search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-02T21:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533708', 'street': {'id': 964814, 'name': 'On or near Supermarket'}, 'longitude': '-0.107440'}",False,Black,Person and Vehicle search,,Controlled drugs
over 34,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-03T16:40:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.534969', 'street': {'id': 964753, 'name': 'On or near Bromfield Street'}, 'longitude': '-0.106436'}",False,Black,Person search,,Stolen goods
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T18:48:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528147', 'street': {'id': 960832, 'name': ""On or near Lloyd'S Row""}, 'longitude': '-0.105536'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T00:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,Black,Person search,,Offensive weapons
,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T00:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535893', 'street': {'id': 964464, 'name': 'On or near Supermarket'}, 'longitude': '-0.102374'}",False,Black,Person search,,Offensive weapons
18-24,Penalty Notice for Disorder,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T23:30:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.531975', 'street': {'id': 964793, 'name': 'On or near Cynthia Street'}, 'longitude': '-0.113149'}",False,Black,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-04T11:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534279', 'street': {'id': 964732, 'name': 'On or near Eckford Street'}, 'longitude': '-0.112160'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-05T15:24:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536811', 'street': {'id': 964739, 'name': 'On or near Copenhagen Street'}, 'longitude': '-0.114708'}",False,White,Person and Vehicle search,,Controlled drugs
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T14:45:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,Asian,Person search,,Stolen goods
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T18:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T23:22:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531975', 'street': {'id': 964793, 'name': 'On or near Cynthia Street'}, 'longitude': '-0.113149'}",False,Asian,Person and Vehicle search,,Controlled drugs
25-34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T20:00:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.524126', 'street': {'id': 960828, 'name': 'On or near Mount Pleasant'}, 'longitude': '-0.111599'}",False,White,Person search,,Stolen goods
